"วันที่"|"สัญชาติ"|"จำนวน"|"ค่าปรับ"
"2021-12-14"|"CHE"|"1"|"1500"
"2022-01-10"|"PHL"|"1"|"1000"
"2022-02-14"|"AUS"|"1"|"1000"
"2022-01-18"|"DEU"|"1"|"2000"
"2022-01-03"|"USA"|"1"|"1000"
"2022-03-07"|"USA"|"1"|"1000"
"2022-03-10"|"IDN"|"1"|"3500"
"2022-03-17"|"AUS"|"1"|"3000"
"2022-03-19"|"GBR"|"1"|"9000"
"2022-03-29"|"ESP"|"1"|"1000"
"2022-05-04"|"LKA"|"2"|"13500"
"2022-05-04"|"DEU"|"1"|"1500"
"2022-05-06"|"GBR"|"1"|"2500"
"2022-05-09"|"SGP"|"1"|"20000"
"2022-05-09"|"MEX"|"1"|"1500"
"2022-05-09"|"MYS"|"1"|"4500"
"2022-05-10"|"DEU"|"1"|"2000"
"2022-05-12"|"KOR"|"1"|"5500"
"2022-05-12"|"IND"|"1"|"1000"
"2022-05-14"|"USA"|"1"|"2500"
"2022-05-15"|"SGP"|"1"|"8500"
"2022-05-15"|"USA"|"1"|"10500"
"2022-05-18"|"AUS"|"1"|"6500"
"2022-05-21"|"USA"|"1"|"1000"
"2022-05-23"|"MMR"|"2"|"2000"
"2022-05-23"|"CHN"|"1"|"1000"
"2022-05-29"|"GBR"|"1"|"20000"
"2022-05-30"|"GBR"|"2"|"7000"
"2022-05-30"|"BEL"|"1"|"20000"
"2022-05-30"|"USA"|"1"|"17500"
"2022-06-03"|"CHN"|"1"|"1000"
"2022-06-07"|"USA"|"1"|"2000"
"2022-06-07"|"LUX"|"1"|"1000"
"2022-06-10"|"FRA"|"1"|"3000"
"2022-06-10"|"MYS"|"1"|"1000"
"2022-06-11"|"AUS"|"1"|"1000"
"2022-06-13"|"THA"|"1"|"800"
"2022-06-17"|"USA"|"1"|"1000"
"2022-06-19"|"CHE"|"1"|"1000"
"2022-06-20"|"SGP"|"2"|"2000"
"2022-06-22"|"MYS"|"2"|"40000"
"2022-06-23"|"USA"|"1"|"1000"
"2022-06-23"|"CHN"|"1"|"1500"
"2022-06-24"|"ZAF"|"2"|"3000"
"2022-06-25"|"SGP"|"1"|"1500"
"2022-06-26"|"CHN"|"1"|"7000"
"2022-06-26"|"MYS"|"1"|"20000"
"2022-06-28"|"CHN"|"1"|"9500"
"2022-06-28"|"USA"|"1"|"2000"
"2022-06-28"|"ZAF"|"1"|"1000"
"2022-06-29"|"AUS"|"1"|"3000"
"2022-07-01"|"FRA"|"1"|"1000"
"2022-07-05"|"USA"|"1"|"1500"
"2022-07-05"|"AUS"|"1"|"2500"
"2022-07-05"|"AUS"|"1"|"2500"
"2022-07-05"|"AUS"|"1"|"1500"
"2022-07-05"|"AUS"|"1"|"1500"
"2022-07-07"|"GBR"|"1"|"1000"
"2022-07-09"|"GBR"|"1"|"14000"
"2022-07-11"|"USA"|"1"|"1500"
"2022-07-11"|"USA"|"1"|"1500"
"2022-07-13"|"AUS"|"1"|"19500"
"2022-07-13"|"AUS"|"1"|"19500"
"2022-07-13"|"CHN"|"1"|"1000"
"2022-07-14"|"FRA"|"1"|"6500"
"2022-07-15"|"USA"|"1"|"7000"
"2022-07-16"|"CHN"|"4"|"9000"
"2022-07-18"|"MMR"|"3"|"3000"
"2022-07-19"|"IRL"|"2"|"3000"
"2022-07-20"|"CHN"|"2"|"40000"
"2022-07-20"|"AUS"|"1"|"20000"
"2022-07-27"|"IND"|"1"|"20000"
"2022-07-29"|"GBR"|"1"|"1500"
"2022-10-01"|"NPL"|"1"|"1000"
"2022-10-01"|"USA"|"1"|"7500"
"2022-09-27"|"KWT"|"1"|"12000"
"2022-09-27"|"AUS"|"1"|"1000"
"2022-09-28"|"FRA"|"1"|"16000"
"2022-09-28"|"KOR"|"2"|"3000"
"2022-09-29"|"ISR"|"2"|"3000"
"2022-09-29"|"DEU"|"2"|"3000"
"2022-09-29"|"CAN"|"1"|"3500"
"2022-09-30"|"IND"|"1"|"1500"
"2022-09-30"|"CZE"|"1"|"3000"
"2022-09-03"|"CHN"|"1"|"1500"
"2022-09-03"|"GBR"|"1"|"1000"
"2022-09-03"|"GBR"|"1"|"1000"
"2022-09-03"|"GBR"|"1"|"1000"
"2022-09-03"|"JPN"|"1"|"13000"
"2022-09-03"|"SVN"|"1"|"14500"
"2022-09-04"|"GBR"|"1"|"1000"
"2022-09-05"|"HKG"|"1"|"11500"
"2022-09-05"|"HKG"|"1"|"11500"
"2022-09-06"|"USA"|"1"|"3000"
"2022-09-07"|"CAN"|"1"|"1500"
"2022-09-07"|"NLD"|"1"|"1000"
"2022-09-08"|"NLD"|"1"|"1500"
"2022-09-08"|"ISR"|"2"|"5000"
"2022-09-08"|"DEU"|"1"|"4500"
"2022-09-08"|"JPN"|"1"|"6000"
"2022-09-09"|"SGP"|"1"|"1500"
"2022-09-09"|"USA"|"1"|"1500"
"2022-09-10"|"JPN"|"1"|"1500"
"2022-09-11"|"USA"|"1"|"1000"
"2022-09-11"|"THA"|"1"|"800"
"2022-09-11"|"THA"|"1"|"800"
"2022-09-14"|"ETH"|"1"|"1500"
"2022-09-14"|"JPN"|"1"|"8000"
"2022-09-15"|"USA"|"1"|"2500"
"2022-09-15"|"AUS"|"1"|"1500"
"2022-09-15"|"AUS"|"1"|"1000"
"2022-09-15"|"SGP"|"1"|"3500"
"2022-09-15"|"ITA"|"1"|"1000"
"2022-09-16"|"AUS"|"1"|"2000"
"2022-09-17"|"CHE"|"1"|"17000"
"2022-09-18"|"CHN"|"1"|"6500"
"2022-09-18"|"CHE"|"1"|"2500"
"2022-09-19"|"USA"|"1"|"10000"
"2022-09-19"|"IDN"|"1"|"1500"
"2022-09-20"|"DEU"|"1"|"3000"
"2022-09-21"|"JPN"|"1"|"8000"
"2022-09-21"|"AUS"|"1"|"2500"
"2022-09-22"|"USA"|"1"|"1500"
"2022-09-22"|"USA"|"1"|"1000"
"2022-09-22"|"FRA"|"1"|"1500"
"2022-09-23"|"BRA"|"1"|"2000"
"2022-09-23"|"POL"|"1"|"9000"
"2022-08-03"|"SGP"|"1"|"2000"
"2022-08-03"|"CHN"|"1"|"1500"
"2022-08-05"|"MYS"|"1"|"20000"
"2022-08-06"|"GBR"|"1"|"1500"
"2022-08-07"|"CHN"|"1"|"1000"
