"วันที่"|"สัญชาติ"|"จำนวน"
"2022-02-24"|"USA"|"1"
"2022-04-17"|"USA"|"1"
"2022-04-12"|"MMR"|"1"
"2022-04-13"|"MMR"|"1"
"2022-04-19"|"SGP"|"1"
"2022-05-02"|"sgp"|"1"
"2022-05-03"|"deu"|"4"
"2022-05-03"|"irl"|"1"
"2022-05-07"|"deu"|"2"
"2022-05-09"|"usa"|"1"
"2022-05-09"|"mys"|"1"
"2022-05-14"|"usa"|"1"
"2022-05-16"|"sgp"|"1"
"2022-05-16"|"deu"|"2"
"2022-05-19"|"aus"|"1"
"2022-05-23"|"mys"|"1"
"2022-05-23"|"gbr"|"1"
"2022-05-24"|"irl"|"1"
"2022-05-25"|"usa"|"1"
"2022-05-26"|"can"|"2"
"2022-05-30"|"usa"|"1"
"2022-05-30"|"chn"|"1"
"2022-05-30"|"fji"|"1"
"2022-05-30"|"kor"|"4"
"2022-05-31"|"mmr"|"1"
"2022-06-01"|"mmr"|"1"
"2022-06-01"|"jpn"|"1"
"2022-06-02"|"jpn"|"1"
"2022-06-03"|"chn"|"1"
"2022-06-03"|"ita"|"1"
"2022-06-04"|"fra"|"1"
"2022-06-08"|"sgp"|"4"
"2022-06-09"|"sgp"|"1"
"2022-06-10"|"aus"|"3"
"2022-06-12"|"jpn"|"1"
"2022-06-12"|"mys"|"1"
"2022-06-13"|"kor"|"1"
"2022-06-13"|"ita"|"1"
"2022-06-14"|"gbr"|"1"
"2022-06-15"|"gbr"|"3"
"2022-06-16"|"che"|"1"
"2022-06-16"|"sgp"|"1"
"2022-06-16"|"usa"|"1"
"2022-06-17"|"usa"|"1"
"2022-06-17"|"jpn"|"2"
"2022-06-20"|"chn"|"1"
"2022-06-21"|"usa"|"1"
"2022-06-21"|"mmr"|"1"
"2022-06-21"|"fra"|"1"
"2022-06-22"|"chn"|"1"
"2022-06-24"|"usa"|"1"
"2022-06-24"|"mys"|"1"
"2022-06-25"|"bol"|"1"
"2022-06-27"|"kor"|"1"
"2022-06-29"|"jpn"|"1"
"2022-06-30"|"sgp"|"1"
"2022-06-30"|"jpn"|"1"
"2022-06-30"|"twn"|"1"
"2022-07-01"|"kor"|"2"
"2022-07-01"|"chn"|"2"
"2022-07-01"|"bel"|"1"
"2022-07-01"|"usa"|"2"
"2022-07-02"|"mmr"|"1"
"2022-07-02"|"sgp"|"1"
"2022-07-05"|"jpn"|"1"
"2022-07-06"|"deu"|"1"
"2022-07-07"|"kor"|"1"
"2022-07-09"|"deu"|"1"
"2022-07-10"|"mmr"|"1"
"2022-07-11"|"mmr"|"1"
"2022-07-13"|"chn"|"1"
"2022-07-15"|"gbr"|"1"
"2022-07-17"|"kor"|"1"
"2022-07-17"|"sgp"|"1"
"2022-07-17"|"jpn"|"1"
"2022-07-18"|"usa"|"2"
"2022-07-18"|"gbr"|"1"
"2022-07-19"|"chn"|"1"
"2022-07-19"|"deu"|"1"
"2022-07-20"|"gbr"|"2"
"2022-07-20"|"can"|"1"
"2022-07-20"|"jpn"|"1"
"2022-07-20"|"mys"|"1"
"2022-07-20"|"sgp"|"1"
"2022-07-22"|"kor"|"1"
"2022-07-23"|"nld"|"1"
"2022-07-25"|"chn"|"2"
"2022-07-27"|"chn"|"1"
"2022-07-30"|"sgp"|"1"
"2022-08-01"|"usa"|"1"
"2022-08-01"|"jpn"|"1"
"2022-08-02"|"usa"|"1"
"2022-08-02"|"sgp"|"1"
"2022-08-03"|"aus"|"1"
"2022-08-03"|"usa"|"1"
"2022-08-04"|"gbr"|"1"
"2022-08-04"|"deu"|"1"
"2022-08-04"|"ind"|"1"
"2022-08-06"|"gbr"|"2"
"2022-08-06"|"mmr"|"1"
"2022-08-08"|"aus"|"1"
"2022-08-10"|"chn"|"1"
"2022-08-11"|"aus"|"1"
"2022-08-12"|"usa"|"2"
"2022-08-12"|"mys"|"1"
"2022-08-13"|"gbr"|"1"
"2022-08-13"|"sgp"|"1"
"2022-08-13"|"usa"|"1"
"2022-08-14"|"gbr"|"1"
"2022-08-14"|"idn"|"1"
"2022-08-14"|"npl"|"1"
"2022-08-14"|"pak"|"1"
"2022-08-15"|"sgp"|"1"
"2022-08-16"|"nld"|"1"
"2022-08-17"|"fji"|"1"
"2022-08-18"|"fra"|"1"
"2022-08-18"|"ind"|"1"
"2022-08-19"|"usa"|"1"
"2022-08-22"|"sgp"|"2"
"2022-08-22"|"jpn"|"1"
"2022-08-22"|"usa"|"2"
"2022-08-26"|"gbr"|"2"
"2022-08-31"|"khm"|"1"
"2022-09-01"|"chn"|"1"
"2022-09-01"|"usa"|"1"
"2022-09-02"|"dom"|"1"
"2022-09-02"|"isr"|"1"
"2022-09-04"|"fji"|"1"
"2022-09-05"|"che"|"1"
"2022-09-06"|"bel"|"1"
"2022-09-07"|"chn"|"1"
"2022-09-08"|"gbr"|"1"
"2022-09-09"|"deu"|"1"
"2022-09-10"|"aus"|"1"
"2022-09-10"|"jpn"|"1"
"2022-09-13"|"nld"|"1"
"2022-09-13"|"aus"|"1"
"2022-09-13"|"jpn"|"1"
"2022-09-13"|"fra"|"1"
"2022-09-14"|"gbr"|"1"
"2022-09-14"|"mys"|"1"
"2022-09-15"|"usa"|"1"
"2022-09-16"|"kor"|"1"
"2022-09-17"|"usa"|"1"
"2022-09-17"|"mys"|"1"
"2022-09-18"|"chn"|"1"
"2022-09-19"|"aus"|"1"
